Date,User,Tweet
2017-12-31 23:16:50+00:00,BtcSinyal,Salı günü ASELSAN için hareketli bir gün olacak #ASELS #bist #bist100 #BORSA
2017-12-31 22:47:14+00:00,X198119811981,#konya #bist #bist100 #endeks #viop #hisse #aksen #thyao #kozaa #kozal #borsa #asels #tuprs #sasa #halkb https://t.co/7eDwmNyAWp
2017-12-31 19:18:06+00:00,erdincozcan17,#borsa #bist #bist100 #mutluyıllar #yeniyılagirerken #Çanakkale https://t.co/taw62dLO5F
2017-12-31 16:44:31+00:00,MohendisBiy,"#dolar 2012 den gelen yükselen kanalında hareket ediyor.
Ve bu kanal bize #dolartl de ~3,55 i yakın bir  zamanda göreceğimizi söylüyor.
Buna bağlı olarak da #XU100 yeni rekorlara (122.000 mesela) gideceğini bekleyebiliriz.
#bist #bist100 #endeks #piyasa #borsa #hisse https://t.co/lbnT7D5dGt"
2017-12-31 12:54:17+00:00,ozdemir_0655,#Hosgeldin2018 #yeniyılagirerken #Yeniyıl2018  #YeniYıldanDileğim bilet almayin #varant alin #varant bilmiyorsaniz takipte kalin... #varant  #Kozaa  #kozal #ASELS  #garan #bist100  #tuprs #BIST30 hadi basarilar🤣😂😎
2017-12-31 11:27:51+00:00,Wollkkyyyy,#ALKIM (25.00) güzel bir hisse. Turuncu ile belirtilen tarihlerden  Birinde %20 kazanç sağlar. En geç temmuz ayı. En erken şubat. Sabretmeyi bilenler için güzel bir hisse. Karını arttıran bir şirket... YTD #bist100 https://t.co/jniIun9C3T
2017-12-31 09:03:06+00:00,winwithoutlose,@naifresul Petrol fiyatlarındaki artış bist100 de olumlu etkiler o zaman diyebilirmiyiz?
2017-12-31 04:37:03+00:00,mrarslanoglu,#XU100 #bist100 Aralık2017 kapanışı ile genel bir değerlendirme : (sayfa3toplam3) https://t.co/02nIiUk23m
2017-12-31 04:37:02+00:00,mrarslanoglu,#XU100 #bist100 Aralık2017 kapanışı ile genel bir değerlendirme : (sayfa2toplam3) https://t.co/xp0pNVBYVB
2017-12-31 04:37:01+00:00,mrarslanoglu,#XU100 #bist100 Aralık2017 kapanışı ile genel bir değerlendirme : (sayfa1toplam3) https://t.co/taLOeNaTu8
2017-12-31 00:45:59+00:00,Wollkkyyyy,#AKSEN ikili dipten sonra yükselişe geçmiş. Bilançolardan önce 4.79 (%16 kazanç) olması çok normal sonuç olur. ytd #bist100 https://t.co/ooqYLZuNwU
2017-12-30 20:24:49+00:00,AliGoRitmik,"#bist100 #bist #viop Kasım Ayı Ayı , Aralık Ayı Boğa Piyasasıydı .https://t.co/BwWzEmJK6l"
2017-12-30 20:19:00+00:00,turkersrsi,@ahmedalkann $$$ kardesim ben ellılot sevmim😬 BU ARADA BU SAATTE HERKEZ TATILDE:)) benden sıze jest olsun #x30yvade #bist100  yenı yıl hedıyem hedefe ramak kaldı .... https://t.co/pLLS8QehuN
2017-12-30 20:17:08+00:00,turkersrsi,@ahmedalkann kardesim ben ellılot sevmim BU ARADA BU SAATTE HERKEZ TATILDE:)) benden sıze jest olsun #x30yvade #bist100  yenı yıl hedıyem hedefe ramak kaldı ....
2017-12-30 19:42:23+00:00,xrootsystem,#TekbirDileğimVar #bist100 un 200.*** olması.
2017-12-30 14:58:56+00:00,celikbay_,#xu100 #bist100 son hali https://t.co/IBD9ZLbzSX
2017-12-30 12:32:23+00:00,MrMilyoner,@canalp83 BIST100 endeksi
2017-12-30 11:08:45+00:00,SonHunigan,Üstadlardan 2018 yılının hissesini bekliyoruz ;) #hisse #bist #xu100 #bist100
2017-12-30 09:43:59+00:00,comfort_grup,"غلق مؤشر بورصة إسطنبول المئوي “BIST100″ تداولات الجمعة، عند النقطة 115.333,01، محققاً ارتفاعاً بنسبة 0.74 بالمائة، وتجاوز بذلك أرقامه القياسية السابقة.
وبلغ مجموع تعاملات اليوم 5.6 مليارات ليرة تركية، (أكثر من 1.47 مليار دولار).💸💡
#تركيا #تركيا_بوست 
 #زد_رصيدك88 #السعودية https://t.co/8aVVshvjQy"
2017-12-30 08:56:03+00:00,mehmetakifozen,"Güncel
30.12.2017
#DÜK #TMA #TEPEDİP #VOLÜM #ARTIŞI 
🔼Teknik Taramaları güncellendi 🔼

#KARŞIT #YATIRIM
#FK #TV #PDDD #UZAKLIK #PEG #ÖzSermayeBüyüme/FK
🔼Temel Taramaları güncellendi 🔼

#xu100 #borsa #bist #bist100 #XU030
https://t.co/sgazULG62S https://t.co/3gTebk97oW"
2017-12-30 06:17:05+00:00,MohendisBiy,"#XU100 103.000de çizdiğim grafik bakn nasıl çalışmş.
Yıllık kapanışı da kanal çizgisi 115.490 üstünü görerek hemen altında yapmış
115.333
Buna göre haftaya biraz yatay girerek hedef
günlükte 119.000
haftalıkta 122.000
olabilir
#bist #bist100 #endeks #piyasa #borsa #hisse #dolar https://t.co/LLZtFowwSk"
2017-12-29 22:23:35+00:00,YgtKyn,"Söz konusu olan #viop30 ise, istediğiniz kadar güzel olsun sistemimiz..
Tüm hesabınızı """"bir sabah kalktığınızda -20.000 puan zarar edecekmiş"""""" gibi ayarlamalıyız. 
 
Bu sebeple Max.DrawDown kaç gibi sorular anlamsız. 

Ülkemiz'in MDD'si min -20.000 puan zaten. #bist100"
2017-12-29 20:05:33+00:00,Investindicator,#bıst100 2018 meraba derken durum böyle :) https://t.co/hXL9hJ9IsG
2017-12-29 19:44:41+00:00,uzunvadeliborsa,#THYAO Eğitim Çalışması https://t.co/Aqy0KweOXX | #borsa #bist100
2017-12-29 19:30:24+00:00,newturkpost,"بورصة #إسطنبول تنهي 2017 عند أعلى مستوى لها
أغلق مؤشر بورصة إسطنبول المئوي “BIST100″ تداولات الجمعة، عند النقطة 115.333,01، محققاً ارتفاعاً بنسبة 0.74 بالمائة، وتجاوز بذلك أرقامه القياسية السابقة. وبلغ مجموع تعاملات اليوم 5.6 مليارات ليرة تركية، (أكثر من 1.47 مليار دولار). https://t.co/zgYK30F75z"
2017-12-29 19:25:04+00:00,uzunvadeliborsa,#Asels Eğitim Çalışması https://t.co/CQtxs9OxCU | #borsa #bist100
2017-12-29 18:27:52+00:00,uzunvadeliborsa,"2018 yılının ilk iş günü için ağımıza takılanlar. Yatırım tavsiyesi değildir. 
--&gt; https://t.co/nz2tptTwJ0 | #borsa #bist100 #hisse #hissebul"
2017-12-29 16:51:42+00:00,gergocun,"Borsa Istanbul closes year at record high
#BIST100: 115,333 points; USD/TRY: 3.79 and EUR/TRY: 4.54
--Turkish market surged over 48 percent as of the beginning of 2017--
https://t.co/rvPBXHBSmC"
2017-12-29 16:42:22+00:00,ByTHuRaM,"2018 yıl sonu beklentim

$/tl= 4.35tl
bist100 = 130 bin
#bist #uvy"
2017-12-29 16:23:04+00:00,uzunvadeliborsa,Asgari ücret 1603 lira oldu. #borsa #bist100 #AsgariÜcret
2017-12-29 16:18:41+00:00,vkrgz,BIST Başkanı Karadağ'dan Bitcoin açıklaması https://t.co/FhpjXv9MJn #borsa #bist #bist100
2017-12-29 16:13:38+00:00,danialtaras,"@barisesen bist100 115.333, bir iddia daha net sonuclanamazdi"
2017-12-29 16:07:24+00:00,himmetkaradag,"Günün son işlem gününde Borsa İstanbul Bist100 endeksi bugün 115.333,01 kapanış yaparak rekor kırmıştır. Daha nice rekorlara...mutlu yıllar..."
2017-12-29 15:44:47+00:00,winingtrader,"bist100 haftalık grafik
2017 yılı kapanışı https://t.co/qQ5qjP4f7p"
2017-12-29 15:31:42+00:00,vkrgz,Borsa yılı rekorla tamamladı https://t.co/2X792ftCW4 #borsa #bist #bist100
2017-12-29 15:20:15+00:00,BorsaciEmmi,#ZOREN bi cacık olur mu? #bist #XU100 #IHLAS #ISGYO #GSDHO #DOHOL #AKENR #GARAN #TSKB #EKGYO #SEKUR #YYAPI #KRDMD #HLGYO #THYAO #FLAP #KARSN #AKBNK #ANACM #VAKBN #POLTK #SKBNK #YKBNK #VESTL #KERVT #IHYAY #HALKB #SISE #VAKFN #HATEK #GLYHO #TMSN #IZMDC #MIPAZ #BRMEN #bist100
2017-12-29 15:16:42+00:00,BorsaLab,"#Bist100 Yılbaşı Hediyesi -  114.378-115.840 aralığında işlem gören BIST100 endeksi günü 852 puan ve %0,74 yükselişle 115.333 puandan kapattı. Dolar/TL 3,7870 seviyelerinde."
2017-12-29 15:15:00+00:00,Investindicator,#bist100 bu yıl +%48
