Date,User,Tweet
2013-08-31 20:37:08+00:00,bilgeanalist,#bist100 #borsa #usdtry BIST100'DE SON DURUM http://t.co/sCFtRSgrke
2013-08-31 09:39:43+00:00,BORSAKTIF,30082013-BIST100 FAN http://t.co/JOCYYa2unw
2013-08-30 17:52:06+00:00,CemilKaanA,"Bist100-FAIZ-USDTRY.. Arkadaslar, grafikler bize bir sey anlatmaya calisiyor...:)"
2013-08-30 11:34:38+00:00,sungurmehmet,Böylece strateji oluşturmanın ve alternatif hesabın önemi bir kez daha anlaşılmıştır #bist100 Temmuz21 den Agustos sonuna vaziyet ortadadır.
2013-08-30 11:31:14+00:00,sungurmehmet,"Desteğini esirgemeyen dostlara teşekkür ediyorum,21 Temmuz da yapılan #bist100 Analiz  https://t.co/O4KjDWRdI0"
2013-08-30 01:20:06+00:00,BatuhanIlhan,&gt; bir araç ile karşılaşabiliriz.. #tcmb #bist100
2013-08-29 18:15:11+00:00,muharusta,"ALTIN 1.411,89$
PETROL 109,69$
DOLAR/TL 2,0288
EURO/TL 2,6866
SPT 2,36
EURO/USD 1,3244
USD/JPY 98,24
GBP/TL 3,14
FAİZ 9,78
BIST100 66.394,44"
2013-08-29 14:41:12+00:00,mydemiralp,bist100 sonu pazartesiye görüşürüz....
2013-08-29 12:53:55+00:00,spek66,neden bist100 burdan döndüğünün cevabı.bu rakamları 3 temmuzda yazmıştım. http://t.co/V8QCOKYWyK
2013-08-29 08:20:28+00:00,ksener66,Bist100 Tepe Formasyonu  http://t.co/LV1oVMkOxT
2013-08-29 08:20:27+00:00,hiakkaya,#BIST100 ANALİZ... http://t.co/WOSLKbIMoS
2013-08-29 08:19:12+00:00,hiakkaya,Bist100 Tepe Formasyonu  http://t.co/mSqF3OobwU
2013-08-28 23:05:53+00:00,onderdmr,#Dolar kuru gibi sevebilirsin beni. her yeni gün tarihi bir zirve kırarız beraber #bist100
2013-08-28 22:11:36+00:00,CemilKaanA,"@DalgalarlaSorf ++gibi gorundu bana. Su anda Tepede Var olan bir takoz varken, Bist100, 2008-2011 diplerinden gecen trend cizgisini asagi++"
2013-08-28 20:58:51+00:00,CemilKaanA,@DalgalarlaSorf bist100 tarafinda DEV yukselen takoz http://t.co/IV7cCWyvhz
2013-08-28 16:59:22+00:00,Memolates,Biri lütfen bana yardimci olabilir mi? Bist100 için son 5 yada 10 yıllık reel ve nominal getirilerin karşılaştırılmali grafikleri lazım..?
2013-08-28 16:21:58+00:00,rsyysr,@sayinakcicek bist100 nası gidiyo durumlar nedir
2013-08-28 16:21:19+00:00,orkungodek,"o degil de bist100 / 65,400 uzerine atabilirse kisa vade tepki yaratabilir. herkes sakinlik ariyor cok cok kisa vadede."
2013-08-28 16:04:35+00:00,Serdar_Erdem,64000 hedefime geldik.Buralarda dip oluştuğunu düşünüyorum;eylül'de bist100'de 70 bin civarına kadar tepki olabilir. http://t.co/oleSWpD3qU
2013-08-28 15:59:43+00:00,gouldingftswift,@breatheinocean Bist100 hala düşüyor :o
2013-08-28 14:48:15+00:00,fizik1us,"@BloombergHT Aslı hn , Hocam da 19 Eylüle kadar ki zamanda Bist100 hep düşecek mi diyor?  Alıştık düşşün:))"
2013-08-28 14:17:21+00:00,fizik1us,@BloombergHT Aslı hn sorarmısınız acaba Suriye operasyonu başlarsa Bist100 seviye olarak nereye iner?
2013-08-28 13:33:00+00:00,excali11,"AKBNK: +%4.28
GARAN: +%3.90
BIST100: -%0.02"
2013-08-28 13:28:07+00:00,evrimefedemir,#vob30 için vade kapanma öncesi son gün pozisyon kapamalar için abartılı hareketler doğal #bist100
2013-08-28 12:57:23+00:00,selchukdemir,#bist100 Allahin izniyle arti kapatiriz
2013-08-28 12:48:55+00:00,selchukdemir,#bist100 Allahin izniyle buradan tepki verecek
2013-08-28 12:04:08+00:00,sdrglr,Bir kaç işlem günü sonra tam iki ay tamamlanıyor. 2 temmuzdan beri Bist100 değer kaybı ise yaklaşık ~%20 ....
2013-08-28 11:55:17+00:00,sdrglr,2 Temmuz'da Bist100 ~77.000 iken; 2 ay içerisinde ~65.000 olacak şeklinde tweetim bugün itibari ile gerçekleşmiştir. #borsa #xu100 #bist100
2013-08-28 11:49:44+00:00,sertackahveci,"@PiyasaEkrani işe bak,  dolar 2, 00  ye geldi diye düşüyordu bist100, şimdi 2, 03tl ye düşsün tepki verecek borsa (+)"
2013-08-28 10:06:00+00:00,finanskulvari,BIST'te değer kazanan ve kaybeden hisseler http://t.co/sxePFgCqWq    #BIST #bist #bist100
2013-08-28 08:47:40+00:00,Musavc,"BIST100 -%0,75 iken X"
2013-08-28 06:30:42+00:00,keles_numan,@zelihasrc bist100  45000 = dow? ??
2013-08-28 06:30:07+00:00,keles_numan,@zelihasrc dow icin hagi seviye bist100=dow??????
2013-08-28 06:29:25+00:00,keles_numan,@zelihasrc bist100 45000=dow ?
2013-08-28 05:52:08+00:00,muharusta,"ALTIN 1.427,42$
PETROL 111,82$
DOLAR/TL 2,0573
EURO/TL  2,7525
SEPET 2,41
EURO/USD 1,3377
USD/JPY 97,29
GBP/TL 3,19
BIST100  65.519,87"
2013-08-27 20:33:14+00:00,musavirkedi,"bist tüm ise, 67000 de bulunan aynı akım desteğini 65387 inerek zedelemiş bulunuyor, bu durum göz önünde bulundurulur ise, bist100 de +"
2013-08-27 20:31:08+00:00,musavirkedi,"bist100  65000 civarındaki +-250 yükselen akım desteği üzerinde bulunuyor,bu seviye eylülde 66500  e yükselecek,"
2013-08-27 19:51:47+00:00,1ferhatozcan,@BloombergHT şuan Bist100 de yabancı oranı ne durumda acaba?
2013-08-27 17:54:54+00:00,spek66,@gokhanm9 geçen hafta bist100 için zaten 64656 yazmıştım zaten.burası kırılırsa 63873 den tepki yapmaya calısır.dahada altta 57500 ler var.
2013-08-27 16:20:23+00:00,korayfiliz,#bist100 kendine geelllll
2013-08-27 14:47:39+00:00,hiakkaya,#Bist100 Bu seviyenin altındaki  kapanışlarda oyundan  çıkarım.. http://t.co/lcRwqtflk0
2013-08-27 14:37:29+00:00,hiakkaya,Bist100 Tepe Formasyonu    Son  grafikte beklenen hedef gerçekleşti sayılır..   http://t.co/mSqF3OobwU
2013-08-27 14:03:16+00:00,muharusta,"ALTIN 1.419,19$
PETROL 108,82$
DOLAR/TL 2,0278
EURO/TL 2,7154
SEPET 2,37
EURO/USD 1,3387
USD/JPY 97,38
GBP/TL 3,15
BIST100 66.303"
2013-08-27 12:09:37+00:00,hiakkaya,Bist100 Tepe Formasyonu Formasyon Tamamlanmadan  kaçmak yok.. http://t.co/mSqF3OobwU
2013-08-27 12:07:12+00:00,tek071,@eralkarayazici Eral Bey. dax ile aramız bayağı açıldı. ne dersiniz ?bist100/dax kritik eşikde!
2013-08-27 09:28:50+00:00,zeyneperataman,@Muratardahan_ @PiyasaEkrani malumunuz endeksın adı bıst100
2013-08-27 09:20:12+00:00,yatirimrehberim,Bist100 de 65000-68000 arası alım yapılabilir. Buralardan 70000-72000 lere doğru tepki gelebilir...
2013-08-27 08:13:50+00:00,ebruertek3,"Hayatımız bist100 😱 altin 100 ü görsene, görsene, gorseneeeee...."
