Date,User,Tweet
2019-02-28 20:44:54+00:00,harmonikakademi,"Bist100 ün Yakın çekim buda son hali ?
180 derece altı negatif alandır.
#bist100 #bist30 #varant #xauusd #eurtry #akbnk #arclk #asels #eregl #garan #halkb #ısctr #kchol #kozaa #krdmd #petkm #pgsus #sahol #sıse #tcell #thyao #toaso #ttkom #tuprs #vakbn #ykbnk https://t.co/f2ueXoHSs1"
2019-02-28 20:23:45+00:00,harmonikakademi,"#fonet 10 şbt çizdiğimiz Yarasa formasyonu hdf blmş. Nerdeyse %100 daha gitmiş. Vaybeee. 
#bist100 #bist30 #varant #xauusd #eurtry #akbnk #arclk #asels #eregl #garan #halkb #ısctr #kchol #kozaa #krdmd #petkm #pgsus #sahol #sıse #tcell #thyao #toaso #ttkom #tuprs #vakbn https://t.co/UO4XeXmQVJ"
2019-02-28 19:26:11+00:00,piyasalsiyasal,"#BIST30 (#XU030) Hisselerinin 2019 Getirileri (Yılbaşından İtibaren):

1)#TTKOM +%39,23
2)#YKBNK +%34,38
3)#VAKBN +%32,31
4)#ARCLK +%31,86
5)#KCHOL +%31,27
6)#EREGL +%29,09
7)#PGSUS +%28,71
*
*
26)#ASELS +%1,83
27)#BIMAS -%1,49
28)#KOZAL -%4,52
29)#THYAO -%12,23
30)#KOZAA -%18,14"
2019-02-28 19:19:56+00:00,PiramitMenkul_,"Günlük Para Girişi Olan Hisseler 28.02.2019 :  #GARAN, #THYAO #TCELL, #YKBNK, #AKBNK, #TAVHL, #ASELS, #ISCTR, #PETKM, #TKFEN, #KCHOL, #KOZAA, #SAHOL @sevgulyirtar https://t.co/4JElZBjhC4"
2019-02-28 18:13:17+00:00,mustafaasci55,"@derinhisse @tadmi23 Slm kchol gibi bir dev holding kağıtı, temettü verimi, yabancıların ilgisi, ov -uv alınabilir mi ? Saygılar sevgiler"
2019-02-28 17:49:11+00:00,harmonikakademi,"@mipaz Mipaz ile ilgili gelen bir soru üzerine Canlı Grafiğimiz altında gerekli yorumlar yapılmıştır. 
https://t.co/jxyLFj9ava 
#bist100 #bist30 #varant #xauusd #akbnk #arclk #asels #eregl #garan #halkb #kchol #kozaa #krdmd #petkm #pgsus #sahol #sıse #tcell #thyao #toaso #ttkom"
2019-02-28 17:24:17+00:00,kendimenotlar07,"#usdtry #kozal #kchol #garan #bist100 #akbnk #thyao #krdmd #eregl #petkm #tuprs #sasa #sahol #asels
Asels te bir çok kişinin atladığı bir nokta var. Yabancı payı ve ğelişimi. Dirence gelmişti iyi bilanço sonrası biraz daha toplamak için düşürdüler. Kısa vadede direnç geçilecek"
2019-02-28 17:12:48+00:00,hiziralitubay,"#bist100 Endex de algoritmanın son durumu;

#tavhl #halkb #ykbnk #ekgyo #tuprs  #TTKOM #otkar #yatas #kozal #kchol #toaso #asels #eregl  #pgsus #sasa #BIMAS #IPEKE #PETKM #KRDMD  #thyao #sise #XU100 #XU030 #viop #bist030 https://t.co/oFPttZSOb4"
2019-02-28 15:26:50+00:00,bilginy,#aghol #enkai #dohol #enkai  #glyho #gsdho #kchol #sahol #tavhl #tkfen https://t.co/1LHQLTCGGr
2019-02-28 14:44:03+00:00,Surveys_TR,"#Temettü verimliliği hesabı yaparken hata yapmayın
Temettü/Son fiyat yanlış
Doğrusu: Temettü/(Son fiyat-Temettü) şeklindedir.

XU100 BIMAS HALKB VAKBN XBANK AKBNK ARCLK ASELS EKGYO ENJSA ASELS EREGL ISCTR KCHOL
KOZAA KRDMD PETKM PGSUS SAHOL SISE TUPRS 
TCELL THYAO TTKOM ISCTR"
2019-02-28 12:25:05+00:00,harmonikakademi,"KARDEMİRD saatlikte 
Negatif Uyumsuzluğa güzel bir örnek Olmuş.
#kardmd #krdmd 
#bist100 #bist30 #varant #xauusd #eurtry #akbnk #arclk #asels #eregl #garan #halkb #ısctr #kchol #kozaa #krdmd #petkm #pgsus #sahol #sıse #tcell #thyao #toaso #ttkom #tuprs #vakbn https://t.co/oN1EfC65LI"
2019-02-28 12:18:13+00:00,harmonikakademi,"#aghol Aghol Diren. Üstünde tutunmaya çalışıyor bakalım kalabilecekmi ?
https://t.co/Udh8blOwuI

#bist100 #bist30 #varant #xauusd #eurtry #akbnk #arclk #asels #eregl #garan #halkb #ısctr #kchol #kozaa #krdmd #petkm #pgsus #sahol #sıse #tcell #thyao #toaso #ttkom #tuprs #vakbn"
2019-02-28 12:08:59+00:00,harmonikakademi,"HEDEF GİRİŞİM #hdfgs 

Kaçta çizmişiz kaç oldu hedefi kaç bakalım ?

#bist100 #bist30 #varant #xauusd #eurtry #akbnk #arclk #asels #eregl #garan #halkb #ısctr #kchol #kozaa #krdmd #petkm #pgsus #sahol #sıse #tcell #thyao #toaso #ttkom #tuprs #vakbn #ykbnk https://t.co/K0FkKMeCFn"
2019-02-28 12:01:22+00:00,ekonomuhendisi,KCHOL güçlü direnç 19.45
2019-02-28 09:22:44+00:00,harmonikakademi,"#avod Devremi kesmiş ? Bakalım grafiğine destek dirençler ?
#bist100 #bist30 #varant #xauusd #eurtry #akbnk #arclk #asels #eregl #garan #halkb #ısctr #kchol #kozaa #krdmd #petkm #pgsus #sahol #sıse #tcell #thyao #toaso #ttkom #tuprs #vakbn #ykbnk
https://t.co/9zJQR3YysB"
2019-02-28 08:03:42+00:00,harmonikakademi,"ODAS GRAFİĞİ CANLI TAKİP edelim (Play tuşuna basmayı unutmayalım)
#bist100 #bist30 #varant #xauusd #eurtry #akbnk #arclk #asels #eregl #garan #halkb #ısctr #kchol #kozaa #krdmd #petkm #pgsus #sahol #sıse #tcell #thyao #toaso #ttkom #tuprs #vakbn #ykbnk

https://t.co/nNKxUCYOmd"
2019-02-28 08:01:19+00:00,AlgoSistem,"KCHOL saatlikte hacim artış var. Son fiyat: 18,78

Tweet otomatik oluşturulmuştur. Yatırım Tavsiyesi Değildir!"
2019-02-28 07:58:14+00:00,idlertrader,"Yabancı Oranı 10 Günlük Azalan Matrisi 28.02.2019 
#TTKOM #TTRAK #TUPRS #ULKER #vakbn #VESTL #GARAN #akbnk #doas #ykbnk #thyao #isctr #KOZAL #tcell #asels #petkm #krdmd #trkcam #pgsus #mgros #kchol #ANACM #toaso #froto #tavhl #kozal #aghol https://t.co/Xzf49tS7zQ"
2019-02-28 07:57:54+00:00,idlertrader,"Yabancı Oranı 10 Günlük Azalan Matrisi 27.02.2019 
#TTKOM #TTRAK #TUPRS #ULKER #vakbn #VESTL #GARAN #akbnk #doas #ykbnk #thyao #isctr #KOZAL #tcell #asels #petkm #krdmd #trkcam #pgsus #mgros #kchol #ANACM #toaso #froto #tavhl #kozal #aghol https://t.co/ZMSy4QL9XA"
2019-02-28 07:57:28+00:00,idlertrader,"Günlük Yabancı Oranları Tablosu 28.02.2019 
#TTKOM #TTRAK #TUPRS #ULKER #vakbn #VESTL #GARAN #akbnk #doas #ykbnk #thyao #isctr #KOZAL #tcell #asels #petkm #krdmd #trkcam #pgsus #mgros #kchol #ANACM #toaso #froto #tavhl #kozal #aghol https://t.co/k19BJbjSjp"
2019-02-28 07:53:23+00:00,TyArzu,@celikbay_ Kchol bugün yok mu listede ?
2019-02-27 21:05:22+00:00,CenkYildiz07,"#kchol Günlük 18,85 üstü kapanış gelirse yeni zirve olasılığı artar! https://t.co/7VKsIQcQnZ"
2019-02-27 20:30:57+00:00,BorsaPivot,"#vestl #halkb #zoren #ekgyo #ıheva #kozaa #odas #eregl #ykbnk #bımas #kchol #vesbe #sasa #soda #hurgz #kords #ıhyay #tcell #fonet #ecılc #garan #thyao #ıhglm #akbnk #krdmd #vakbn #tuprs #asels #petkm #kozal #ıhlas #ccola #pgsus #dohol #tavhl #tkfen 
https://t.co/Ku6T8GuEXp"
2019-02-27 20:19:40+00:00,harmonikakademi,"#MIPAZ Unutmayalım budan bugün kaynamış
https://t.co/jxyLFj9ava

#bist100 #bist30 #varant #xauusd #eurtry #akbnk #arclk #asels #eregl #garan #halkb #ısctr #kchol #kozaa #krdmd #petkm #pgsus #sahol #sıse #tcell #thyao #toaso #ttkom #tuprs #vakbn #ykbnk"
2019-02-27 19:54:28+00:00,BorsaPivot,"BUGÜN (27.02.19) EN ÇOK PARA GİRİŞİ YAŞAYAN 20 HİSSE VE
 5 GÜNLÜK NET HESAPLARI #borsapivot #hisse
#vestl #halkb #zoren #ekgyo #ıheva #kozaa #odas #eregl #ykbnk #bımas #kchol #vesbe #sasa #soda #hurgz #kords #ıhyay #tcell #fonet #ecılc https://t.co/dhs984PT0Y"
2019-02-27 17:54:35+00:00,canyousee_1979,#bist100 #bist30 #varant #xauusd #eurtry #akbnk #arclk #asels #eregl #garan #halkb #ısctr #kchol #kozaa #krdmd #petkm #pgsus #sahol #sıse #tcell #thyao #toaso #ttkom #tuprs #vakbn #ykbnk https://t.co/bJydIBQLcM
2019-02-27 17:11:01+00:00,PiramitMenkul_,"Günlük Para Girişi Olan Hisseler 27.02.2019 :  #VESTL, #HALKB #ZOREN, #EKGYO, #IHEVA, #KOZAA, #ODAS, #EREGL, #YKBNK, #BIMAS, #KCHOL, #VESBE, #SASA @sevgulyirtar https://t.co/TKiYolIz7z"
2019-02-27 16:40:09+00:00,FikirveKultur,#kchol https://t.co/5w0htj4z51
2019-02-27 15:54:19+00:00,winingtrader,#kchol 4ç18 https://t.co/LPYQVWYBhS
2019-02-27 15:22:42+00:00,bilginy,#aghol #enkai #dohol #enkai  #glyho #gsdho #kchol #sahol #tavhl #tkfen https://t.co/WW7v1pZLrr
2019-02-27 14:32:50+00:00,harmonikakademi,"#kardmd #krdmd Nasılda döngülerle Dans ediyor. 
https://t.co/hXJTKLaCqK Canlı izleyelim

#bist100 #bist30 #varant #xauusd #eurtry #akbnk #arclk #asels #eregl #garan #halkb #ısctr #kchol #kozaa #krdmd #petkm #pgsus #sahol #sıse #tcell #thyao #toaso #ttkom #tuprs #vakbn #ykbnk"
2019-02-27 13:01:23+00:00,AlgoSistem,"KCHOL saatlikte hacim artış var. Son fiyat: 18,57

Tweet otomatik oluşturulmuştur. Yatırım Tavsiyesi Değildir!"
2019-02-27 12:11:54+00:00,hiziralitubay,"Piyasa hareketlerinin bir özeti;

#tavhl #halkb #ykbnk #ekgyo #tuprs  #TTKOM #otkar #yatas #kozal #kchol #toaso #asels #eregl  #pgsus #sasa #BIMAS #IPEKE #PETKM #KRDMD  #thyao #sise #XU100 #XU030 #viop #bist030 #USDTRY #bıst100 https://t.co/QB2AWKk0fN"
2019-02-27 09:44:14+00:00,YalcindagYasin,"#bist30 Endeksine en çok etki eden şirketler ve güncel etki oranlar:

#akbnk % 9.23
#tuprs % 8.97
#garan % 8.87
#bimas % 7.88
#EREGL % 7.86
#Kchol % 7.59
#thyao % 4.94
#sahol % 4.11

TOPLAM % 59.45"
2019-02-27 08:48:01+00:00,TyArzu,"@celikbay_ Kchol’de dünkü rakkamlar geçerli mi hala , revizyon yaptınız mı ?"
2019-02-27 06:19:45+00:00,fixelborsa,ŞEKER YATIRIM: Piyasalarda Gelişmeler/Beklentiler #ARCLK #CCOLA #KCHOL #MGROS #TSKB #TTKOM #TSGYO #ASELS https://t.co/jUfYR6uP0n
2019-02-27 05:56:59+00:00,idlertrader,"Yabancı Oranı 10 Günlük Azalan Matrisi 27.02.2019 
#TTKOM #TTRAK #TUPRS #ULKER #vakbn #VESTL #GARAN #akbnk #doas #ykbnk #thyao #isctr #KOZAL #tcell #asels #petkm #krdmd #trkcam #pgsus #mgros #kchol #ANACM #toaso #froto #tavhl #kozal #aghol https://t.co/fh5MKIg0md"
2019-02-27 05:56:26+00:00,idlertrader,"Yabancı Oranı 10 Günlük Artış Matrisi 27.02.2019 
#TTKOM #TTRAK #TUPRS #ULKER #vakbn #VESTL #GARAN #akbnk #doas #ykbnk #thyao #isctr #KOZAL #tcell #asels #petkm #krdmd #trkcam #pgsus #mgros #kchol #ANACM #toaso #froto #tavhl #kozal #aghol https://t.co/ry6oAkA4GN"
2019-02-27 05:56:05+00:00,idlertrader,"Günlük Yabancı Oranları Tablosu 27.02.2019 
#TTKOM #TTRAK #TUPRS #ULKER #vakbn #VESTL #GARAN #akbnk #doas #ykbnk #thyao #isctr #KOZAL #tcell #asels #petkm #krdmd #trkcam #pgsus #mgros #kchol #ANACM #toaso #froto #tavhl #kozal #aghol https://t.co/cMhdNKsTl2"
2019-02-27 05:54:46+00:00,fixelborsa,HALK YATIRIM: Piyasalarda Gelişmeler/Beklentiler #ASELS #KCHOL #AYGAZ #ARCLK #VESTL #SELEC #FMIZP https://t.co/h5jwna4LhA
2019-02-26 19:58:18+00:00,yatirim_rapor,"@TGturanG #eregl 2018 4Ç analizi
Halk https://t.co/tW2tOP2OuL
Analiz https://t.co/BRuFw4gSB3

#garan 2018 4Ç analizi
İş https://t.co/5BN0rLihDI
Halk https://t.co/2BzESxXC5z
Analiz https://t.co/63LzNQ1Kls

#kchol 2018 4Ç analizi
Halk https://t.co/tqvV3vnTII
Vakıf https://t.co/XU7FFQrEg7"
2019-02-26 19:36:38+00:00,yatirim_rapor,"@ADIYAMANLI17 #afyon 2018 4Ç analizi
Halk https://t.co/5aNUh5zTXk

#kchol 2018 4Ç analizi
Halk https://t.co/tqvV3vnTII
Vakıf https://t.co/XU7FFQrEg7

#kozal 2018 4Ç analizi
Analiz https://t.co/IdNVeSgBkL

#sahol 2018 4Ç analizi
Halk https://t.co/HmknLAaIWx
Analiz https://t.co/Gckqu3ZDoj"
2019-02-26 18:40:54+00:00,PiramitMenkul_,"Günlük Para Girişi Olan Hisseler 26.02.2019 :  #THYAO, #ISCTR #KOZAA, #HALKB, #EREGL, #KRDMD, #EKGYO, #ASELS, #TTKOM, #IHEVA, #ARCLK, #KCHOL @sevgulyirtar https://t.co/ytNzKYt4hN"
2019-02-26 18:24:28+00:00,kendimenotlar07,"#usdtry #kozal #kchol #garan #bist100 #akbnk #thyao #krdmd #eregl #petkm #tuprs #sasa #sahol #asels
Thyao ve krdmd karşılaştırması yapmıştım.
Sonuç 13.40 lık thyao 14.39
2.33 lük krdmd 2.68"
2019-02-26 17:44:57+00:00,kendimenotlar07,"#usdtry #kozal #kchol #garan #bist100 #akbnk #thyao #krdmd #eregl #petkm #tuprs #sasa #sahol #asels
Asels 5. 40 tl 2019 yılı için iyi bir hedeftir. %56 yukarı potansiyeli var bana göre üstü fiyatlamalarda 60 70 tl ye gidecek olursa 48 tl den 19 tl şe düştüğü gibi aksiyon olur."
