"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"31.12.2021","20,020","20,300","20,980","19,740","64,48M","-0,60%"
"30.12.2021","20,140","21,420","21,500","20,020","78,66M","-4,46%"
"29.12.2021","21,080","20,080","21,660","19,760","79,16M","2,93%"
"28.12.2021","20,480","20,860","21,140","19,880","63,47M","-1,44%"
"27.12.2021","20,780","21,040","21,720","20,540","107,68M","-1,61%"
"24.12.2021","21,120","19,300","21,120","19,120","96,69M","9,94%"
"23.12.2021","19,210","19,500","19,620","18,050","98,05M","1,75%"
"22.12.2021","18,880","19,800","20,560","18,500","123,79M","-5,27%"
"21.12.2021","19,930","22,540","23,480","19,930","81,91M","-9,98%"
"20.12.2021","22,140","21,240","23,480","20,360","108,17M","-2,12%"
"17.12.2021","22,620","25,620","26,660","22,620","193,19M","-9,95%"
"16.12.2021","25,120","23,820","25,120","23,320","151,82M","6,98%"
"15.12.2021","23,480","22,740","24,360","22,640","211,14M","3,99%"
"14.12.2021","22,580","22,800","23,120","22,360","113,88M","-0,27%"
"13.12.2021","22,640","22,260","22,980","21,880","140,08M","1,80%"
"10.12.2021","22,240","22,560","23,120","21,900","237,43M","1,09%"
"09.12.2021","22,000","20,620","22,400","20,420","233,24M","7,95%"
"08.12.2021","20,380","19,300","20,620","19,300","251,75M","6,15%"
"07.12.2021","19,200","19,340","19,470","19,130","102,91M","2,73%"
"06.12.2021","18,690","18,700","18,800","18,380","96,35M","0,86%"
"03.12.2021","18,530","18,860","19,350","18,500","185,04M","1,53%"
"02.12.2021","18,250","18,410","18,660","18,040","121,40M","-0,87%"
"01.12.2021","18,410","17,450","18,810","17,410","190,88M","6,91%"
"30.11.2021","17,220","17,000","17,440","16,850","111,92M","-0,58%"
"29.11.2021","17,320","16,990","17,460","16,430","180,96M","1,94%"
"26.11.2021","16,990","17,970","18,000","16,910","200,73M","-9,53%"
"25.11.2021","18,780","18,990","19,090","18,700","71,11M","-1,00%"
"24.11.2021","18,970","19,100","19,460","18,770","174,96M","1,34%"
"23.11.2021","18,720","17,600","18,790","17,380","152,21M","6,18%"
"22.11.2021","17,630","17,190","17,660","17,140","148,78M","3,16%"
