,şimdi,açılış,fark,avg_polar,tweet_count
2022-10-18,3841.56,3847.62,-0.16,0.49674511767651475,1997
2022-10-17,3847.62,3641.4,6.08,0.5297572435395458,2554
2022-10-14,3626.96,3584.94,2.07,0.47931253978357735,1571
2022-10-13,3553.43,3529.78,1.01,0.4976402726796015,1907
2022-10-12,3517.75,3576.84,-1.51,0.4888591800356506,2244
2022-10-11,3571.55,3590.26,-0.29,0.45103092783505155,1552
2022-10-10,3582.03,3574.09,0.4,0.496077248038624,1657
2022-10-07,3567.6,3563.85,0.39,0.5286458333333334,1536
2022-10-06,3553.85,3519.85,1.99,0.4962536023054755,1735
2022-10-05,3484.42,3486.7,0.76,0.5072463768115942,1863
2022-10-04,3458.03,3435.55,1.94,0.5170919595570534,2077
2022-10-03,3392.13,3195.81,6.67,0.5273573923166472,2577
2022-09-30,3179.99,3151.32,1.05,0.4829183555298205,1727
2022-09-29,3146.89,3218.87,-1.6,0.4511226252158895,2895
2022-09-28,3198.16,3257.96,-2.07,0.5490702479338843,1936
2022-09-27,3265.64,3270.53,0.17,0.5495432185523542,1423
2022-09-26,3260.15,3282.61,-0.65,0.5565944881889764,2032
2022-09-23,3281.61,3303.54,-0.41,0.5484668644906033,2022
2022-09-22,3295.27,3247.3,1.53,0.5391459074733096,1686
2022-09-21,3245.76,3269.45,-0.97,0.5123123123123123,1665
2022-09-20,3277.5,3221.08,2.44,0.5267727930535456,2764
2022-09-19,3199.54,3382.95,-5.26,0.5133747635774115,3701
2022-09-16,3377.33,3349.58,0.42,0.5791695988740324,1421
2022-09-15,3363.12,3456.44,-2.43,0.5867142220240749,2243
2022-09-14,3446.96,3419.07,0.59,0.5796428571428571,2800
2022-09-13,3426.88,3684.23,-6.09,0.5066573230553609,2854
2022-09-12,3649.21,3557.67,3.63,0.614314115308151,2012
2022-09-09,3521.38,3465.1,2.44,0.6240963855421687,1660
2022-09-08,3437.41,3428.31,1.02,0.6095505617977528,1780
2022-09-07,3402.81,3401.76,0.34,0.6035437430786268,1806
2022-09-06,3391.38,3381.68,0.98,0.577590480912246,2017
2022-09-05,3358.37,3247.88,4.21,0.6017621145374449,2270
2022-09-02,3222.74,3166.49,2.55,0.65174456879526,1519
2022-09-01,3142.74,3168.41,-0.9,0.60431654676259,1668
2022-08-31,3171.21,3178.28,0.2,0.5975877192982456,1824
2022-08-29,3164.96,3145.17,0.6,0.6186681844052362,1757
2022-08-26,3146.1,3149.43,0.3,0.5925700365408039,1642
2022-08-25,3136.77,3076.1,2.5,0.615170105967652,1793
2022-08-24,3060.3,3133.19,-1.96,0.5656019656019656,2035
2022-08-23,3121.52,3070.2,1.93,0.5505293551491819,2078
2022-08-22,3062.49,3017.82,1.4,0.5522181146025879,2164
2022-08-19,3020.2,3025.23,0.01,0.6224066390041494,1446
2022-08-18,3020.01,2979.1,1.34,0.6250567408079891,2203
2022-08-17,2980.0,2928.71,2.29,0.5978755690440061,1977
2022-08-16,2913.3,2862.2,1.96,0.5902855024100853,2697
2022-08-15,2857.18,2875.37,-0.25,0.6491144088080422,2089
2022-08-12,2864.25,2871.82,-0.15,0.6812227074235808,2061
2022-08-11,2868.44,2846.83,1.37,0.6824196597353497,2116
2022-08-10,2829.58,2779.66,1.59,0.6838644410723318,1977
2022-08-09,2785.16,2795.36,-0.35,0.6923698021800565,2477
2022-08-08,2795.06,2759.43,1.62,0.6914932457101132,2739
2022-08-05,2750.49,2729.93,0.98,0.7018370230805464,2123
2022-08-04,2723.67,2701.07,1.46,0.6470019342359767,2068
2022-08-03,2684.46,2664.83,1.39,0.645323289391086,1593
2022-08-02,2647.59,2662.0,-0.33,0.5733976567884218,1451
2022-08-01,2656.32,2592.38,2.47,0.5515267175572519,1572
2022-07-29,2592.38,2547.95,1.93,0.5288808664259927,1108
2022-07-28,2543.33,2567.2,-0.03,0.5116279069767442,1118
2022-07-27,2544.12,2550.85,0.28,0.4927536231884058,1104
2022-07-26,2537.12,2558.23,-0.45,0.49872340425531914,1175
2022-07-25,2548.49,2520.84,1.27,0.5105663567202029,1183
2022-07-22,2516.56,2524.49,0.21,0.5020746887966805,964
2022-07-21,2511.37,2528.51,-0.55,0.5501285347043702,1167
2022-07-20,2525.2,2514.16,0.93,0.5176470588235295,1105
2022-07-19,2501.96,2449.4,2.07,0.5748373101952278,1383
2022-07-18,2451.27,2401.91,2.89,0.5529775715390565,1293
2022-07-14,2382.44,2407.33,-1.06,0.49564134495641343,803
2022-07-13,2408.08,2435.49,-1.07,0.5154419595314164,939
2022-07-08,2434.02,2425.47,0.35,0.5607843137254902,510
2022-07-07,2425.56,2412.35,0.72,0.46365638766519823,908
2022-07-06,2408.15,2389.11,1.56,0.48833592534992226,1286
2022-07-05,2371.25,2417.84,-1.44,0.41337579617834397,1570
2022-07-04,2405.98,2458.73,-1.55,0.40630182421227196,1206
2022-07-01,2443.77,2408.64,1.6,0.4162724692526017,1057
2022-06-30,2405.36,2400.8,0.14,0.44145569620253167,1896
2022-06-29,2401.96,2492.58,-3.55,0.4336875245966155,2541
2022-06-28,2490.24,2545.35,-1.54,0.4625087596355992,1427
2022-06-27,2529.26,2539.24,-0.97,0.481962481962482,1386
2022-06-24,2554.08,2554.76,0.43,0.42992424242424243,1056
2022-06-23,2543.21,2576.07,-1.21,0.41151566469093986,1181
2022-06-22,2574.3,2572.18,-0.06,0.41887905604719766,1017
2022-06-21,2575.86,2557.11,1.44,0.47253705318221445,1147
2022-06-20,2539.2,2548.95,0.23,0.432,1250
2022-06-17,2533.33,2491.51,1.93,0.37738853503184716,1256
2022-06-16,2485.36,2535.82,-1.81,0.39947780678851175,1532
2022-06-15,2531.11,2514.14,0.88,0.3864150943396226,1325
2022-06-14,2508.91,2526.73,-0.05,0.4279507603186097,1381
2022-06-13,2510.14,2540.28,-1.3,0.4623955431754875,1436
2022-06-10,2543.1,2553.48,-1.11,0.39793038570084666,1063
2022-06-09,2571.57,2546.28,1.23,0.4322429906542056,1284
2022-06-08,2540.36,2658.55,-4.07,0.4365426695842451,1828
2022-06-07,2648.19,2651.15,0.0,0.5972944849115505,961
2022-06-06,2648.12,2619.81,1.8,0.5546218487394958,952
2022-06-03,2601.25,2611.22,-0.01,0.519496855345912,795
2022-06-02,2601.56,2578.72,1.28,0.5703463203463204,924
2022-06-01,2568.76,2554.28,0.85,0.5883720930232558,860
2022-05-31,2547.09,2538.89,0.79,0.5181711606096131,853
2022-05-30,2527.15,2466.88,3.62,0.5219638242894057,1161
2022-05-27,2438.84,2454.41,-0.49,0.4902200488997555,818
2022-05-26,2450.84,2422.8,1.35,0.5914198161389173,979
2022-05-25,2418.1,2386.71,1.81,0.563508064516129,992
2022-05-24,2375.0,2392.05,-0.25,0.5155902004454342,898
2022-05-23,2380.9,2392.34,0.36,0.4671361502347418,1278
2022-05-20,2372.35,2389.75,-0.89,0.3827618164967563,1079
2022-05-18,2393.61,2390.78,-0.05,0.410201912858661,941
2022-05-17,2394.83,2401.23,0.17,0.4297752808988764,1068
2022-05-16,2390.79,2419.06,-1.18,0.43755958055290756,1049
2022-05-13,2419.23,2416.04,1.18,0.4081858407079646,904
2022-05-12,2390.98,2429.0,-2.57,0.40450928381962864,1508
2022-05-11,2453.94,2498.24,-1.45,0.39612807148175727,1343
2022-05-10,2490.17,2478.49,0.99,0.46480067854113655,1179
2022-05-09,2465.71,2461.94,0.28,0.4826689774696707,1154
2022-05-06,2458.72,2460.87,-0.31,0.37454100367197063,817
2022-05-05,2466.26,2460.8,1.47,0.43636363636363634,1045
2022-04-29,2430.55,2433.34,0.09,0.3977777777777778,900
2022-04-28,2428.42,2460.32,-0.94,0.424860853432282,1078
2022-04-27,2451.43,2418.3,1.37,0.4289940828402367,1352
2022-04-26,2418.3,2498.11,-2.59,0.4394951744617669,1347
2022-04-25,2482.6,2472.5,0.41,0.41431095406360424,1132
2022-04-22,2472.5,2550.11,-3.3,0.4299270072992701,1370
2022-04-21,2556.81,2531.68,1.22,0.4290060851926978,986
2022-04-20,2525.93,2525.92,0.27,0.42762535477767266,1057
2022-04-19,2519.24,2524.02,0.36,0.4292845257903494,1202
2022-04-18,2510.31,2502.65,0.64,0.4810725552050473,1268
2022-04-15,2494.37,2475.21,0.77,0.4092009685230024,826
2022-04-14,2475.41,2480.92,0.61,0.4175257731958763,970
2022-04-13,2460.43,2482.66,-0.14,0.4192932187201528,1047
2022-04-12,2463.76,2449.34,0.6,0.37213403880070545,1134
2022-04-11,2449.11,2402.21,2.33,0.46160794941282746,1107
2022-04-08,2393.39,2361.15,2.05,0.4037433155080214,1122
2022-04-07,2345.2,2329.06,1.24,0.4408376963350785,955
2022-04-06,2316.4,2328.45,-0.43,0.38851674641148326,1045
2022-04-05,2326.29,2317.48,0.64,0.4351005484460695,1094
2022-04-04,2311.4,2264.47,2.65,0.44672454617206,1267
2022-04-01,2251.68,2238.73,0.82,0.3530961791831357,759
2022-03-31,2233.3,2236.21,0.14,0.3877551020408163,931
2022-03-30,2230.15,2212.78,1.07,0.4169611307420495,849
2022-03-29,2206.5,2181.76,1.57,0.45057766367137353,779
2022-03-28,2172.48,2180.21,-0.14,0.49222797927461137,579
2022-03-25,2175.51,2179.5,-0.03,0.5055187637969095,453
2022-03-24,2176.2,2187.06,-0.32,0.4158415841584158,909
2022-03-23,2183.1,2195.45,-0.26,0.6251354279523293,923
2022-03-22,2188.81,2150.96,0.63,0.533695652173913,920
2022-03-21,2175.03,2160.42,1.43,0.5333333333333333,885
2022-03-18,2144.26,2141.09,0.5,0.46454545454545454,1100
2022-03-17,2133.59,2103.99,2.14,0.5670650730411687,753
2022-03-16,2088.8,2092.07,0.45,0.48293963254593175,762
2022-03-15,2079.38,2087.49,-0.44,0.5273348519362187,878
2022-03-14,2088.48,2066.36,1.69,0.5381165919282511,669
2022-03-11,2053.85,2045.71,0.58,0.4590984974958264,599
2022-03-10,2042.01,2054.59,-0.03,0.5450381679389313,655
2022-03-09,2042.7,2036.27,1.56,0.5861027190332326,662
2022-03-08,2011.35,1987.0,0.7,0.6089309878213802,739
2022-03-07,1997.33,1982.95,0.33,0.4481132075471698,848
2022-03-04,1990.75,2013.91,-1.61,0.45880149812734083,534
2022-03-03,2023.29,2009.33,1.87,0.5275813295615276,707
2022-03-02,1986.09,1974.17,0.82,0.5382003395585738,589
2022-03-01,1969.91,1969.13,1.22,0.5319727891156463,735
2022-02-28,1946.19,1920.2,-0.32,0.5763993948562783,661
2022-02-25,1952.4,1883.04,5.46,0.48783783783783785,740
2022-02-24,1851.38,1953.15,-8.17,0.4378769601930036,1658
2022-02-23,2016.03,2034.26,-0.07,0.47032640949554894,674
2022-02-22,2017.46,2007.03,-1.01,0.48568398727465534,943
2022-02-21,2038.06,2050.09,0.28,0.5228276877761414,679
2022-02-18,2032.44,2025.48,1.12,0.5226537216828478,618
2022-02-17,2009.99,2049.74,-1.54,0.47218934911242605,845
2022-02-16,2041.43,2049.91,0.16,0.4913112164296998,633
2022-02-15,2038.16,2008.29,1.81,0.5542328042328042,756
2022-02-14,2001.94,2024.95,-2.39,0.47373358348968103,1066
2022-02-11,2051.05,2038.67,0.61,0.5054095826893354,647
2022-02-10,2038.67,2048.35,-0.2,0.484375,512
2022-02-09,2042.85,2022.53,1.78,0.4790575916230366,764
2022-02-08,2007.14,1998.55,0.48,0.42995169082125606,828
2022-02-07,1997.58,1943.16,2.77,0.5235042735042735,936
2022-02-04,1943.81,1969.73,-0.72,0.42677824267782427,717
2022-02-03,1957.9,1995.68,-2.21,0.396078431372549,1020
2022-02-02,2002.24,2028.88,-0.65,0.42876344086021506,744
2022-02-01,2015.43,2013.97,0.61,0.49401709401709404,585
2022-01-31,2003.2,2004.29,1.01,0.5622895622895623,594
2022-01-28,1983.18,2006.79,-0.73,0.4620811287477954,567
2022-01-27,1997.69,1920.21,2.38,0.5146198830409356,684
2022-01-26,1951.17,1951.17,0.31,0.5246913580246914,648
2022-01-25,1945.07,1927.82,1.82,0.4768292682926829,820
2022-01-24,1910.29,2004.87,-5.02,0.4489100817438692,1468
2022-01-21,2011.16,2008.05,-0.15,0.47575757575757577,660
2022-01-20,2014.21,2056.21,-1.36,0.44689119170984454,772
2022-01-19,2042.08,1978.78,3.14,0.4722863741339492,866
2022-01-18,1979.83,2082.81,-5.08,0.45810914681014603,1301
2022-01-17,2085.76,2088.53,0.62,0.5456790123456791,405
2022-01-14,2072.93,2071.35,0.11,0.5073684210526316,475
2022-01-13,2070.65,2057.47,0.31,0.46153846153846156,468
2022-01-12,2064.21,2070.35,0.89,0.4812623274161736,507
2022-01-11,2046.03,2060.08,0.04,0.4812623274161736,507
2022-01-10,2045.16,2049.54,0.58,0.538899430740038,527
2022-01-07,2033.32,2020.27,1.28,0.5352380952380953,525
