,şimdi,açılış,fark,avg_polar,tweet_count
2021-12-31,1857.65,1867.71,-0.32,0.5028248587570622,354
2021-12-30,1863.65,1895.46,-1.68,0.4656652360515021,466
2021-12-29,1895.46,1850.48,2.43,0.4716981132075472,530
2021-12-28,1850.48,1913.31,-2.46,0.513235294117647,680
2021-12-27,1897.13,1898.66,0.31,0.5567970204841713,537
2021-12-24,1891.28,1820.67,4.76,0.38741721854304634,604
2021-12-23,1805.3,1835.33,0.06,0.4692737430167598,895
2021-12-22,1804.15,1832.54,-4.64,0.4549763033175355,1055
2021-12-21,1892.02,2077.22,-7.99,0.4617283950617284,1215
2021-12-20,2056.36,2055.37,-1.35,0.4331484904497844,1623
2021-12-17,2084.47,2324.28,-8.52,0.43981633322400787,3049
2021-12-16,2278.55,2183.19,5.38,0.5052005943536404,673
2021-12-15,2162.26,2190.61,0.21,0.5090311986863711,609
2021-12-14,2157.74,2124.06,2.68,0.5154639175257731,582
2021-12-13,2101.51,2047.64,3.24,0.4789473684210526,570
2021-12-10,2035.48,2033.62,0.2,0.4835164835164835,546
2021-12-09,2031.44,2010.2,1.34,0.5119617224880383,627
2021-12-08,2004.55,1990.03,1.19,0.5696551724137932,725
2021-12-07,1981.04,1944.56,2.78,0.546112115732369,553
2021-12-06,1927.39,1917.32,0.89,0.5408878504672897,856
2021-12-03,1910.41,1896.82,1.61,0.5674300254452926,786
2021-12-02,1880.06,1864.14,1.22,0.5257611241217799,854
2021-12-01,1857.4,1823.06,2.64,0.5443645083932853,834
2021-11-30,1809.65,1807.52,0.05,0.5335018963337548,791
2021-11-29,1808.79,1783.06,1.82,0.5631188118811881,808
2021-11-26,1776.41,1811.07,-2.35,0.4789410348977136,831
2021-11-25,1819.23,1816.38,0.38,0.551622418879056,678
2021-11-24,1812.3,1798.96,1.55,0.5368421052631579,855
2021-11-23,1784.56,1756.71,1.66,0.4570610687022901,1048
2021-11-22,1755.48,1751.05,1.04,0.5532786885245902,732
2021-11-19,1737.33,1748.72,0.03,0.5096870342771982,671
2021-11-18,1736.88,1710.05,1.75,0.4598459845984598,909
2021-11-17,1707.04,1683.1,1.27,0.5388888888888889,720
2021-11-16,1685.6,1715.41,-0.99,0.5050618672665916,889
2021-11-15,1702.49,1672.35,3.91,0.5464261857047428,1497
2021-11-12,1638.5,1631.43,0.83,0.5,606
2021-11-11,1625.06,1622.02,0.06,0.4857849196538937,809
2021-11-10,1624.09,1618.06,0.52,0.5012406947890818,806
2021-11-09,1615.64,1612.01,0.44,0.501813784764208,827
2021-11-08,1608.54,1589.43,1.58,0.5352260778128286,951
2021-11-05,1583.59,1575.83,0.5,0.5221354166666666,768
2021-11-04,1575.67,1562.15,1.85,0.5430672268907563,952
2021-11-03,1547.03,1532.93,0.91,0.47372881355932206,1180
2021-11-02,1533.05,1538.77,-0.21,0.5214180206794683,677
2021-11-01,1536.32,1522.28,0.94,0.5538057742782152,762
2021-10-28,1522.04,1518.91,0.18,0.5446096654275093,538
2021-10-27,1519.25,1507.77,0.67,0.5144092219020173,694
2021-10-26,1509.2,1501.17,1.09,0.5603985056039851,803
2021-10-25,1492.93,1474.97,0.88,0.5437017994858612,778
2021-10-22,1479.93,1456.07,1.68,0.5270935960591133,812
2021-10-21,1455.42,1433.29,1.58,0.5219885277246654,1046
2021-10-20,1432.8,1432.24,0.21,0.5266362252663622,657
2021-10-19,1429.85,1423.81,0.86,0.542713567839196,796
2021-10-18,1417.7,1411.38,0.58,0.5006257822277848,799
2021-10-15,1409.56,1417.45,-0.16,0.4946524064171123,748
2021-10-14,1411.75,1412.17,-0.13,0.5168961201501877,799
2021-10-13,1413.54,1421.31,-0.23,0.5162011173184358,895
2021-10-12,1416.82,1409.42,0.04,0.5286284953395473,751
2021-10-11,1416.3,1401.59,1.31,0.5663390663390664,814
2021-10-08,1398.0,1398.04,0.08,0.5094043887147336,638
2021-10-07,1396.92,1385.05,1.84,0.5,1028
2021-10-06,1371.69,1390.72,-1.43,0.4788732394366197,2201
2021-10-05,1391.65,1396.11,-0.2,0.48822605965463106,637
2021-10-04,1394.37,1402.73,-0.51,0.5218045112781955,665
2021-10-01,1401.46,1398.93,-0.35,0.48538961038961037,616
2021-09-30,1406.39,1393.64,1.04,0.5288944723618091,796
2021-09-29,1391.92,1392.13,0.59,0.5312024353120244,657
2021-09-28,1383.77,1391.44,-0.57,0.5070224719101124,712
2021-09-27,1391.74,1393.19,0.51,0.5050215208034433,697
2021-09-24,1384.68,1397.36,-1.2,0.47902869757174393,906
2021-09-23,1401.46,1409.28,-0.43,0.4659206510681587,983
