,şimdi,açılış,fark,avg_polar,tweet_count
2021-12-31,20.02,20.3,-0.6,0.6470588235294118,68
2021-12-30,20.14,21.42,-4.46,0.5259259259259259,135
2021-12-29,21.08,20.08,2.93,0.6120689655172413,116
2021-12-28,20.48,20.86,-1.44,0.6063829787234043,94
2021-12-27,20.78,21.04,-1.61,0.6635514018691588,107
2021-12-24,21.12,19.3,9.94,0.7426470588235294,136
2021-12-23,19.21,19.5,1.75,0.6018518518518519,108
2021-12-22,18.88,19.8,-5.27,0.5641025641025641,156
2021-12-21,19.93,22.54,-9.98,0.5793650793650794,126
2021-12-20,22.14,21.24,-2.12,0.6120689655172413,116
2021-12-17,22.62,25.62,-9.95,0.6870748299319728,147
2021-12-16,25.12,23.82,6.98,0.6577181208053692,149
2021-12-15,23.48,22.74,3.99,0.6538461538461539,182
2021-12-14,22.58,22.8,-0.27,0.6355140186915887,107
2021-12-13,22.64,22.26,1.8,0.75,108
2021-12-10,22.24,22.56,1.09,0.5521472392638037,163
2021-12-09,22.0,20.62,7.95,0.704225352112676,284
2021-12-08,20.38,19.3,6.15,0.66,250
2021-12-07,19.2,19.34,2.73,0.6890756302521008,119
2021-12-06,18.69,18.7,0.86,0.6130653266331658,199
2021-12-03,18.53,18.86,1.53,0.7278481012658228,158
2021-12-02,18.25,18.41,-0.87,0.6616541353383458,133
2021-12-01,18.41,17.45,6.91,0.652027027027027,296
2021-11-30,17.22,17.0,-0.58,0.6473988439306358,173
2021-11-29,17.32,16.99,1.94,0.6798418972332015,253
2021-11-26,16.99,17.97,-9.53,0.5645933014354066,418
2021-11-25,18.78,18.99,-1.0,0.6690140845070423,142
2021-11-24,18.97,19.1,1.34,0.6649214659685864,191
2021-11-23,18.72,17.6,6.18,0.6372549019607843,204
2021-11-22,17.63,17.19,3.16,0.7028571428571428,175
2021-11-19,17.09,18.15,-5.06,0.6051660516605166,271
2021-11-18,18.0,18.02,0.06,0.6916666666666667,120
2021-11-17,17.99,17.68,1.87,0.6638655462184874,119
2021-11-16,17.66,17.63,0.28,0.6636363636363637,110
2021-11-15,17.61,17.83,-1.18,0.5842105263157895,190
2021-11-12,17.82,17.82,0.56,0.5615384615384615,130
2021-11-11,17.72,18.1,-2.26,0.5764705882352941,170
2021-11-10,18.13,18.19,-0.17,0.5743243243243243,148
2021-11-09,18.16,18.08,0.61,0.5868263473053892,167
2021-11-08,18.05,17.81,2.27,0.6205357142857143,224
2021-11-05,17.65,16.85,4.01,0.656934306569343,274
2021-11-04,16.97,16.13,8.92,0.6859344894026975,519
2021-11-03,15.58,15.44,0.58,0.6560509554140127,314
2021-11-02,15.49,15.32,1.37,0.6129032258064516,124
2021-11-01,15.28,14.98,2.07,0.6820512820512821,195
2021-10-28,14.97,14.8,0.81,0.6538461538461539,78
2021-10-27,14.85,14.71,1.02,0.6949152542372882,118
2021-10-26,14.7,14.32,2.94,0.6666666666666666,141
2021-10-25,14.28,14.01,0.99,0.6218487394957983,119
2021-10-22,14.14,14.01,1.22,0.5454545454545454,88
2021-10-21,13.97,13.93,1.23,0.7317073170731707,164
2021-10-20,13.8,14.34,-3.63,0.5707547169811321,212
2021-10-19,14.32,14.59,-1.72,0.5821917808219178,146
2021-10-18,14.57,14.66,-0.48,0.6142857142857143,140
2021-10-15,14.64,14.33,2.38,0.6229508196721312,122
2021-10-14,14.3,14.26,0.28,0.5645161290322581,124
2021-10-13,14.26,14.29,1.86,0.5478723404255319,188
2021-10-12,14.0,14.11,-1.41,0.5514705882352942,136
2021-10-11,14.2,14.15,0.78,0.6062992125984252,127
2021-10-08,14.09,14.18,-0.21,0.635593220338983,118
2021-10-07,14.12,13.81,2.99,0.5632911392405063,158
2021-10-06,13.71,14.02,-2.35,0.5933333333333334,150
2021-10-05,14.04,13.83,1.23,0.6013513513513513,148
2021-10-04,13.87,14.11,-1.28,0.5652173913043478,138
2021-10-01,14.05,13.92,0.72,0.6283185840707964,113
2021-09-30,13.95,13.83,1.23,0.725609756097561,164
2021-09-29,13.78,13.83,0.0,0.6496350364963503,137
2021-09-28,13.78,13.53,1.85,0.6898148148148148,216
2021-09-27,13.53,13.69,-0.66,0.6540880503144654,159
2021-09-24,13.62,13.29,2.18,0.6697247706422018,218
2021-09-23,13.33,13.2,1.06,0.7119565217391305,184
2021-09-22,13.19,13.1,1.07,0.6285714285714286,175
2021-09-21,13.05,12.9,1.87,0.6488888888888888,225
2021-09-20,12.81,12.6,0.71,0.6666666666666666,189
2021-09-17,12.72,12.53,2.0,0.6398305084745762,236
2021-09-16,12.47,12.3,1.71,0.5620915032679739,153
2021-09-15,12.26,12.4,-1.45,0.5853658536585366,123
2021-09-14,12.44,12.48,0.08,0.616822429906542,107
2021-09-13,12.43,12.43,0.16,0.6636363636363637,110
2021-09-10,12.41,12.68,-1.74,0.6666666666666666,108
2021-09-09,12.63,12.45,1.69,0.708029197080292,137
2021-09-08,12.42,12.68,-1.82,0.5420560747663551,107
2021-09-07,12.65,12.94,-2.32,0.5952380952380952,168
2021-09-06,12.95,12.91,0.54,0.6435643564356436,101
2021-09-03,12.88,12.95,-0.16,0.5798319327731093,119
2021-09-02,12.9,12.92,0.0,0.6,100
2021-09-01,12.9,12.73,1.74,0.6390977443609023,133
2021-08-31,12.68,12.72,0.0,0.7181818181818181,110
2021-08-27,12.68,12.75,-0.86,0.6307692307692307,130
2021-08-26,12.79,12.7,2.32,0.6,215
2021-08-25,12.5,12.79,-2.42,0.5392156862745098,204
2021-08-24,12.81,12.55,2.56,0.6065573770491803,183
2021-08-23,12.49,12.39,1.88,0.7100591715976331,169
2021-08-20,12.26,12.2,0.57,0.6371681415929203,113
2021-08-19,12.19,12.16,-0.08,0.584,125
2021-08-18,12.2,12.48,-1.93,0.6388888888888888,144
2021-08-17,12.44,12.54,-1.35,0.5446428571428571,112
2021-08-16,12.61,12.5,1.53,0.6493506493506493,154
2021-08-13,12.42,12.45,-0.08,0.6017699115044248,113
2021-08-12,12.43,12.3,1.8,0.6434108527131783,129
2021-08-11,12.21,12.53,-3.33,0.5933014354066986,209
2021-08-10,12.63,12.82,-1.25,0.5641025641025641,195
2021-08-09,12.79,12.84,-0.31,0.7557251908396947,131
2021-08-06,12.83,12.79,0.55,0.6548672566371682,113
2021-08-05,12.76,12.56,1.03,0.639344262295082,122
2021-08-04,12.63,12.67,0.0,0.6610169491525424,118
2021-08-03,12.63,12.86,-1.86,0.6633663366336634,101
2021-08-02,12.87,12.78,1.1,0.648936170212766,94
2021-07-30,12.73,12.7,-0.39,0.675,80
2021-07-29,12.78,12.65,1.75,0.6634615384615384,104
2021-07-28,12.56,12.57,0.08,0.7191780821917808,146
2021-07-27,12.55,12.31,1.95,0.6793478260869565,184
2021-07-26,12.31,12.74,-3.3,0.5692307692307692,195
2021-07-19,12.73,12.97,-2.68,0.6222222222222222,90
2021-07-16,13.08,13.12,0.0,0.7128712871287128,101
2021-07-14,13.08,13.14,-0.15,0.6610169491525424,118
2021-07-13,13.1,13.26,-1.06,0.591715976331361,169
2021-07-12,13.24,13.61,-2.43,0.5555555555555556,153
2021-07-09,13.57,13.69,-0.66,0.6132075471698113,106
2021-07-08,13.66,13.82,-1.37,0.6564885496183206,131
2021-07-07,13.85,13.9,-0.22,0.6544117647058824,136
2021-07-06,13.88,14.13,-1.7,0.6530612244897959,147
2021-07-05,14.12,13.75,2.77,0.7135135135135136,185
2021-07-02,13.74,13.74,-0.07,0.5887096774193549,124
2021-07-01,13.75,13.41,2.84,0.6324324324324324,185
2021-06-30,13.37,13.5,-0.15,0.6178343949044586,157
2021-06-29,13.39,13.77,-3.39,0.5734767025089605,279
2021-06-28,13.86,14.3,-2.94,0.6223404255319149,188
2021-06-25,14.28,14.63,-2.26,0.6153846153846154,169
2021-06-24,14.61,14.64,0.34,0.6766169154228856,201
2021-06-23,14.56,14.81,-1.36,0.625,208
2021-06-22,14.76,14.66,1.17,0.6731707317073171,205
2021-06-21,14.59,14.62,0.34,0.6831683168316832,202
2021-06-18,14.54,14.69,-0.82,0.6046511627906976,258
2021-06-17,14.66,14.3,2.37,0.691131498470948,327
2021-06-16,14.32,14.51,-1.17,0.5801886792452831,212
2021-06-15,14.49,14.71,-0.89,0.672514619883041,171
2021-06-14,14.62,14.65,0.21,0.6763485477178424,241
2021-06-11,14.59,14.47,1.11,0.7098765432098766,162
2021-06-10,14.43,14.6,-0.89,0.6829268292682927,205
2021-06-09,14.56,14.5,0.55,0.6328125,256
2021-06-08,14.48,14.28,1.4,0.7,230
2021-06-07,14.28,14.19,1.71,0.6506024096385542,249
2021-06-04,14.04,14.0,0.36,0.6570048309178744,207
2021-06-03,13.99,13.68,2.49,0.7155963302752294,327
2021-06-02,13.65,13.38,1.19,0.6380597014925373,268
2021-06-01,13.49,13.3,1.28,0.6491228070175439,228
2021-05-31,13.32,13.06,2.62,0.763265306122449,245
2021-05-28,12.98,13.06,-0.54,0.5172413793103449,174
2021-05-27,13.05,13.05,0.0,0.6795366795366795,259
2021-05-26,13.05,13.06,1.16,0.7183908045977011,174
2021-05-25,12.9,13.52,-4.23,0.6190476190476191,210
2021-05-24,13.47,13.56,-0.15,0.7419354838709677,186
2021-05-21,13.49,13.67,-0.66,0.7038834951456311,206
2021-05-20,13.58,13.27,1.72,0.7412140575079872,313
2021-05-18,13.35,13.33,-0.07,0.7175925925925926,216
2021-05-17,13.36,13.54,-0.22,0.6625514403292181,243
2021-05-12,13.39,13.34,0.3,0.6289592760180995,221
2021-05-11,13.35,13.16,-0.15,0.6048109965635738,291
2021-05-10,13.37,13.16,2.93,0.7266187050359713,278
2021-05-07,12.99,13.0,0.46,0.7233201581027668,253
2021-05-06,12.93,12.63,2.62,0.6466431095406361,283
2021-05-05,12.6,12.68,-0.16,0.7175925925925926,216
2021-05-04,12.62,13.08,-2.32,0.69164265129683,347
2021-05-03,12.92,12.33,5.64,0.6797520661157025,484
2021-04-30,12.23,11.96,2.09,0.8021390374331551,187
2021-04-29,11.98,12.05,-0.25,0.7720588235294118,136
2021-04-28,12.01,11.93,0.67,0.7151898734177216,158
2021-04-27,11.93,11.69,1.71,0.7368421052631579,209
2021-04-26,11.73,11.31,4.08,0.7473684210526316,285
2021-04-22,11.27,10.86,3.39,0.5969387755102041,196
2021-04-21,10.9,11.23,-2.33,0.6983471074380165,242
2021-04-20,11.16,11.62,-3.79,0.5662650602409639,166
2021-04-19,11.6,11.68,-0.43,0.6791044776119403,134
2021-04-16,11.65,11.83,-2.1,0.7368421052631579,114
2021-04-15,11.9,11.94,-0.25,0.644927536231884,138
2021-04-14,11.93,12.03,0.0,0.7630057803468208,173
2021-04-13,11.93,11.81,-0.33,0.6613756613756614,189
2021-04-12,11.97,11.93,0.25,0.6853932584269663,178
2021-04-09,11.94,12.49,-4.71,0.639344262295082,183
2021-04-08,12.53,12.88,-2.49,0.6524390243902439,164
2021-04-07,12.85,12.76,0.71,0.6735751295336787,193
2021-04-06,12.76,13.03,-2.3,0.6826347305389222,167
2021-04-05,13.06,12.85,1.16,0.7443181818181818,176
2021-04-02,12.91,13.06,-0.69,0.6612021857923497,183
2021-04-01,13.0,12.75,1.96,0.717948717948718,195
2021-03-31,12.75,12.74,0.31,0.7411167512690355,197
2021-03-30,12.71,12.45,1.84,0.71875,224
2021-03-29,12.48,12.66,-1.42,0.6986301369863014,146
2021-03-26,12.66,12.85,-0.08,0.7354838709677419,155
2021-03-25,12.67,13.02,-2.61,0.6832579185520362,221
2021-03-24,13.01,12.25,6.55,0.6816143497757847,223
2021-03-23,12.21,11.67,-1.69,0.6740088105726872,227
2021-03-22,12.42,13.07,-9.93,0.6298701298701299,308
2021-03-19,13.79,13.9,-1.08,0.676056338028169,284
2021-03-18,13.94,14.55,-4.19,0.6319444444444444,288
2021-03-17,14.55,14.74,-1.29,0.6761904761904762,210
2021-03-16,14.74,14.75,0.34,0.7282051282051282,195
2021-03-15,14.69,14.46,1.31,0.7077625570776256,219
2021-03-12,14.5,14.75,-1.69,0.7566137566137566,189
2021-03-11,14.75,14.98,-1.01,0.7888198757763976,322
2021-03-10,14.9,15.0,-0.8,0.9525200876552228,1369
2021-03-09,15.02,14.8,2.53,0.7105263157894737,228
2021-03-08,14.65,14.8,-0.88,0.705607476635514,214
2021-03-05,14.78,14.66,0.41,0.6298342541436464,181
2021-03-04,14.72,14.9,-1.34,0.6391304347826087,230
2021-03-03,14.92,14.88,0.74,0.6893203883495146,309
2021-03-02,14.81,13.81,7.32,0.6928895612708018,661
2021-03-01,13.8,13.68,2.3,0.7652582159624414,426
2021-02-26,13.49,13.04,0.75,0.698170731707317,328
2021-02-25,13.39,13.13,4.36,0.650887573964497,338
2021-02-24,12.83,12.9,-1.46,0.6962457337883959,293
2021-02-23,13.02,12.73,3.01,0.6907216494845361,388
2021-02-22,12.64,12.33,2.76,0.6985074626865672,335
2021-02-19,12.3,12.28,0.24,0.7161572052401747,229
2021-02-18,12.27,12.24,0.57,0.6523297491039427,279
2021-02-17,12.2,12.2,0.16,0.7113821138211383,246
2021-02-16,12.18,12.43,-1.77,0.7142857142857143,245
2021-02-15,12.4,12.14,3.33,0.7295373665480427,281
2021-02-12,12.0,12.1,-1.23,0.6339285714285714,224
2021-02-11,12.15,12.22,-0.49,0.6468253968253969,252
2021-02-10,12.21,12.23,0.33,0.7019230769230769,208
2021-02-09,12.17,12.18,0.16,0.673469387755102,196
2021-02-08,12.15,12.28,-0.08,0.6769911504424779,226
2021-02-05,12.16,12.3,-0.33,0.698019801980198,202
2021-02-04,12.2,12.18,0.41,0.7031963470319634,219
2021-02-03,12.15,12.13,0.75,0.7536231884057971,207
2021-02-02,12.06,12.08,0.42,0.6484018264840182,219
2021-02-01,12.01,12.22,-0.83,0.7292576419213974,229
2021-01-29,12.11,12.02,-1.78,0.717391304347826,230
2021-01-28,12.33,11.84,3.18,0.6959459459459459,296
2021-01-27,11.95,12.6,-5.38,0.655367231638418,354
2021-01-26,12.63,12.64,-0.55,0.7103174603174603,252
2021-01-25,12.7,13.01,-1.47,0.7086330935251799,278
2021-01-22,12.89,13.02,-1.07,0.6934865900383141,261
2021-01-21,13.03,13.31,-1.73,0.7203065134099617,261
2021-01-20,13.26,13.52,-1.27,0.6861313868613139,274
2021-01-19,13.43,13.32,1.51,0.6798561151079137,278
2021-01-18,13.23,13.23,0.0,0.7306397306397306,297
2021-01-15,13.23,13.14,-0.23,0.6914498141263941,269
2021-01-14,13.26,13.45,-0.15,0.6544117647058824,408
2021-01-13,13.28,12.97,3.27,0.7125890736342043,421
2021-01-12,12.86,12.77,1.26,0.7252747252747253,273
2021-01-11,12.7,12.79,-0.94,0.6762589928057554,278
2021-01-08,12.82,12.75,1.1,0.7115384615384616,260
2021-01-07,12.68,12.74,-0.08,0.6847290640394089,203
2021-01-06,12.69,12.73,0.55,0.7525773195876289,194
2021-01-05,12.62,12.64,-0.47,0.7294685990338164,207
2021-01-04,12.68,12.97,-1.78,0.7157894736842105,285
